title,metacritic_score,user_score
Whose Streets?,81,7.9
Hunt for the Wilderpeople,81,7.9
Ballets Russes,81,8.0
The General,81,7.8
Harry Potter and the Goblet of Fire,81,7.8
Hell and Back Again,81,6.5
In Jackson Heights,81,7.6
Hairspray,81,7.6
I'm the One That I Want,81,7.4
The Blair Witch Project,81,6.8
Flirting with Disaster,81,8.8
Il Postino: The Postman,81,8.2
King Kong,81,7.3
Daughters of the Dust,81,8.2
Goodnight Mommy,81,8.2
Bonnie and Clyde,81,8.6
Two Step,81,7.8
Inherent Vice,81,7.4
Starred Up,81,8.0
Midnight in Paris,81,8.0
A War,81,7.6
Star Wars: Episode VII - The Force Awakens,81,6.9
The World's End,81,7.9
"Tuesday, After Christmas",81,6.0
The Story of the Weeping Camel,81,8.6
Chaos,81,8.6
Crimson Gold,81,8.0
Faat Kiné,81,6.2
Menashe,81,6.2
District 9,81,8.1
The World,81,8.1
Paprika,81,8.1
Picnic at Hanging Rock,81,7.8
Ai Weiwei: Never Sorry,81,7.8
The Guardians,81,4.3
"Right Now, Wrong Then",81,8.0
Bad Education,81,7.7
"You, the Living",81,7.0
Silver Linings Playbook,81,8.6
A Self-Made Hero,81,7.7
Ava,81,7.7
"Norte, the End of History",81,7.7
Buena Vista Social Club,81,8.0
Elaine Stritch: Shoot Me,81,7.8
Waiting for 'Superman',81,7.3
First Reformed,81,7.4
Encounters at the End of the World,80,7.4
Unrest,80,9.0
Shake Hands with the Devil: The Journey of Roméo Dallaire,80,8.2
North Dallas Forty,80,8.0
The Martian,80,8.0
The Last Temptation of Christ,80,7.4
Neon Bull,80,7.9
Tom Dowd & the Language of Music,80,8.4
Kiss of the Spider Woman (re-release),80,8.4
On the Ropes,80,7.8
Wendy and Lucy,80,6.2
One Flew Over the Cuckoo's Nest,80,8.7
The Hours,80,8.7
Junebug,80,7.9
The Assassin,80,6.4
Café Lumière,80,7.2
Dead Man Walking,80,7.5
The Endless,80,8.3
Promises,80,8.2
Love and Death on Long Island,80,6.8
"Food, Inc.",80,8.3
Three Times,80,6.4
Tony Takitani,80,8.2
The Secret World of Arrietty,80,8.1
Everlasting Moments,80,7.4
The Wound,80,6.5
We Come as Friends,80,6.5
The Guilty,80,6.5
Melancholia,80,6.5
The Untold Story of Emmett Louis Till,80,7.9
The Queen of Versailles,80,7.9
Theeb,80,7.1
Incendies,80,8.1
The Wild Parrots of Telegraph Hill,80,8.5
Nine Queens,80,8.4
The Color of Paradise,80,8.3
A Fish Called Wanda,80,8.6
Trophy,80,8.3
The Turin Horse,80,8.3
She's Beautiful When She's Angry,80,8.2
Gleason,80,8.5
Casino Royale,80,8.5
Concerning Violence,80,8.9
Cinema Paradiso,80,8.9
The Strange Little Cat,80,8.0
Saraband,80,7.7
On the Beach at Night Alone,80,8.5
Pervert Park,80,8.5
"Arabian Nights: Volume 1, The Restless One",80,7.5
Love & Mercy,80,8.1
Nine Lives,80,6.8
Charlie: The Life and Art of Charles Chaplin,80,7.9
Gimme Shelter (re-release),80,7.5
Wild Reeds,80,0
Red Rock West,79,7.1
The Meyerowitz Stories (New and Selected),79,7.1
Stray Dog,79,7.8
She's Gotta Have It,79,7.8
Pride,79,7.8
Precious: Based on the Novel 'Push' by Sapphire,79,8.0
Hotel Rwanda,79,9.0
Photographic Memory,79,9.1
Planet of the Apes,79,9.1
Joan Rivers: A Piece of Work,79,7.9
Baran,79,7.0
Chunhyangdyun,79,7.6
High Fidelity,79,8.6
Short Cuts,79,7.2
The Fly,79,8.1
The Black Panthers: Vanguard of the Revolution,79,5.2
Coriolanus,79,7.0
Counting,79,7.0
A Most Violent Year,79,7.0
Annihilation,79,7.2
Animal House,79,7.8
Gone Girl,79,8.2
Mountains May Depart,79,7.2
The Central Park Five,79,7.9
Wagner's Dream,79,5.5
Kinsey,79,5.5
Sami Blood,79,4.0
"Christmas, Again",79,7.7
Gabrielle,79,5.2
War Photographer,79,7.2
Sexy Beast,79,7.2
Beautiful People,79,7.5
The War of the Roses,79,8.7
Policeman,79,7.0
Harvard Beats Yale 29-29,79,7.3
Midnight Cowboy,79,8.3
Dear White People,79,4.7
Broken Flowers,79,6.1
Loving,79,7.3
Silence,79,7.6
November,79,7.6
I've Loved You So Long,79,7.6
The Crash Reel,79,8.2
Hitchcock/Truffaut,79,7.8
The Order of Myths,79,7.1
Moving Midway,79,7.1
Flags of Our Fathers,79,7.1
Reprise,79,7.1
Bright Leaves,79,6.3
What Time Is It Over There?,79,7.6
The People vs. Larry Flynt,79,8.7
The Thin Blue Line,79,8.7
A Serious Man,79,6.8
Look at Me,79,7.2
The Green Fog,79,6.3
Summer Palace,79,6.3
Wings of Desire,79,8.5
The Fighter,79,8.1
Jodorowsky's Dune,79,8.3
The Five Obstructions,79,6.6
Beasts of No Nation,79,8.3
Gandhi,79,8.0
One of Us,79,6.3
Tu Dors Nicole,79,6.3
Iron Monkey,79,8.9
Suspiria,79,8.1
The Visitor,79,8.1
Green Room,79,7.2
Don't Think I've Forgotten: Cambodia's Lost Rock and Roll,79,8.5
Poltergeist,79,8.5
Colliding Dreams,79,8.5
Iron Man,79,8.5
Deceptive Practices: The Mysteries and Mentors of Ricky Jay,79,8.4
Silent Light,79,7.8
Control Room,79,8.0
Tarzan,79,7.8
The Winslow Boy,79,7.9
Only Lovers Left Alive,79,7.6
So Much So Fast,79,6.6
In a World...,79,6.6
Terms of Endearment,79,7.5
Walking Out,79,5.3
Dawn of the Planet of the Apes,79,8.2
The Untouchables,79,8.7
IMAX: Hubble 3D,79,8.6
Blind Spot. Hitler's Secretary,79,7.0
The Piano Teacher,79,8.2
Trolösa,79,7.6
Into the Arms of Strangers: Stories of the Kindertransport,79,7.4
Praise,79,8.4
Affliction,79,8.4
Dead Poets Society,79,8.2
American Honey,79,7.2
Life of Pi,79,7.9
Let Me In,79,8.5
For Those in Peril,79,7.3
Fences,79,7.3
Chats perchés,79,7.8
The Witness,79,7.8
Birders: The Central Park Effect ,79,0
The New Girlfriend,74,6.5
The Dish,74,8.2
Raising Bertie,74,8.1
Far From Men,74,8.1
An Oversimplification of Her Beauty,74,7.4
Ahead of Time,74,7.4
The Keys to the House,74,7.4
Billy Elliot,74,7.3
The Hurricane,74,7.6
The Muppet Movie,74,8.5
The Rescuers,74,7.6
In Order of Disappearance,74,7.6
Prisoners,74,8.6
The History Boys,74,6.1
Hercules,74,8.4
A Mighty Heart,74,7.2
Becoming Traviata,74,5.8
Fastball,74,5.8
How to Train Your Dragon,74,8.7
Sir! No Sir!,74,7.6
Place Vendôme,74,7.2
Invictus,74,7.2
Herb & Dorothy,74,7.5
The Italian,74,7.5
Mommy,74,8.5
The Pirogue,74,5.1
Beast,74,5.1
The Duchess of Langeais,74,5.1
The Golden Dream,74,8.8
Eastern Boys,74,6.8
Big Hero 6,74,8.0
My Kid Could Paint That,74,8.3
Two Lovers,74,8.6
As I Open My Eyes,74,8.8
Sin City,74,8.8
For the Love of Spock,74,8.1
Land and Shade,74,5.0
Neil Young Journeys,74,5.0
"My Country, My Country",74,7.2
Source Code,74,7.7
Metallica: Some Kind of Monster,74,8.5
The Nazi Officer's Wife,74,7.4
7 Days in September,74,7.4
A Matter of Taste,74,7.0
Shower,74,7.0
Such a Long Journey,74,7.0
Joe,74,7.3
Under Fire: Journalists in Combat,74,7.6
The Song of Sparrows,74,7.6
Starlet,74,6.5
State of Fear,74,8.4
La faute à Fidel!,74,8.4
Thor: Ragnarok,74,7.6
Narco Cultura,74,4.7
Teacher's Pet,74,7.9
La Sapienza,74,6.8
The Haunting,74,7.4
Lemon Tree,74,7.4
U-Carmen e-Khayelitsha,74,7.8
Breach,74,7.2
Among the Believers,74,7.9
2 or 3 Things I Know About Him,74,7.9
Arna's Children,73,7.9
Japanese Story,73,7.3
28 Days Later...,73,7.8
Tully,73,6.6
Cast Away,73,6.6
Les convoyeurs attendent,73,8.8
South Park: Bigger Longer & Uncut,73,8.8
High Art,73,8.6
Wag the Dog,73,7.2
The Brothers McMullen,73,7.8
Cape Fear,73,8.7
Novitiate,73,7.4
(T)error,73,8.7
All This Panic,73,8.7
From Afar,73,8.7
Roxanne,73,8.3
Tangerines,73,8.3
Mysterious Skin,73,8.1
Red Road,73,8.0
4 Days in France,73,8.1
Into the Wild,73,8.1
Rumble: The Indians Who Rocked The World,73,5.9
The Party,73,5.9
A Scanner Darkly,73,7.7
Cropsey,73,6.2
The House of the Devil,73,6.9
Red Cliff,73,7.6
Chisholm '72: Unbought & Unbossed,73,7.7
Tokyo Godfathers,73,7.7
My Terrorist,73,8.6
Lilo & Stitch,73,8.6
Behind the Sun,73,6.3
Cool and Crazy,73,7.7
Show Me Love,73,7.2
The Limey,73,6.4
El mariachi,73,7.2
Rust and Bone,73,7.8
The Rape of Recy Taylor,73,0
Iron Crows,72,7.8
Gone Baby Gone,72,7.8
The Insult,72,9.0
Where Is Kyra?,72,8.2
Phil Ochs: There But for Fortune,72,8.2
Magic Mike,72,6.0
Straight Outta Compton,72,7.6
Tale of Tales,72,6.4
Captain Fantastic,72,7.8
Scarecrow,72,6.8
Matilda,72,8.1
New York Doll,72,8.1
All the Money in the World,72,6.5
One Week and a Day,72,7.9
Still Mine,72,7.9
A Screaming Man,72,6.5
Our Nixon,72,6.5
The Island President,72,8.0
The Cabin in the Woods,72,8.1
Mesrine: Public Enemy No. 1,72,7.8
Miami Blues,72,6.4
Genius Within: The Inner Life of Glenn Gould,72,6.4
Charlie and the Chocolate Factory,72,6.6
Headhunters,72,8.3
Quinceañera,72,7.7
Stone Reader,72,7.1
All or Nothing,72,7.1
Bowling for Columbine,72,6.9
The Trials of Henry Kissinger,72,7.6
Marcel Proust's Time Regained,72,4.0
Groundhog Day,72,8.7
Malcolm X,72,8.2
Alléluia,72,4.5
Half Moon,72,6.8
Girl with a Pearl Earring,72,7.2
JFK,72,8.3
The Wedding Plan,72,8.4
Shut Up and Play the Hits,72,8.4
Easier with Practice,72,5.4
"Love, Simon",72,8.4
Diplomacy,72,6.6
Crime After Crime,72,7.7
Prick Up Your Ears,72,7.4
Journeyman,72,7.4
In the House,72,7.4
City of Gold,72,7.4
Gran Torino,72,7.9
Rejoice and Shout,72,7.8
In Bloom,72,7.8
Berlin,72,7.9
God Grew Tired of Us,72,7.9
Always Shine,72,6.2
Seabiscuit,72,7.3
Kissing Jessica Stein,72,8.5
Aimee & Jaguar,72,7.4
A Secret,72,5.8
King Jack,72,6.0
3-Iron,72,8.2
Welcome to Sarajevo,72,6.0
Happy End,72,6.7
Earth,72,6.3
Burden,72,6.2
Steve Jobs: Man in the Machine,72,6.2
Aliyah,72,7.8
Strike,72,7.8
Princess Cyd,72,7.8
Big Fish & Begonia,72,7.3
Bone Tomahawk,72,7.3
Risk,72,7.9
Sunset Song,72,7.1
"Farewell, Herr Schwarz",72,7.5
Joshua: Teenager vs. Superpower,72,7.5
Zipper: Coney Island's Last Wild Ride,72,7.5
Phantasm,72,7.5
7 Boxes,72,8.6
Exhibition,72,5.4
Train to Busan,72,7.9
Superman Returns,72,6.5
Good Hair,72,6.9
Blindsight,72,7.5
Woman on the Beach,72,7.5
Czech Dream,72,7.5
Tibet: A Buddhist Trilogy,72,7.5
Pi,72,7.5
Dances with Wolves,72,8.7
Presumed Innocent,72,8.4
Wreck-It Ralph,72,8.4
First They Killed My Father,72,7.5
The Birdcage,72,7.6
ParaNorman,72,8.4
Let It Rain,72,4.8
The Rocket,72,8.2
Being Evel,72,7.1
The Internet's Own Boy: The Story of Aaron Swartz,72,7.9
Paul Williams Still Alive,72,8.0
Only the Brave,72,7.4
The Search for General Tso,72,8.7
Gore Vidal: The United States of Amnesia,72,8.7
The Tunnel,72,6.2
Breaking a Monster,72,0
Tell Them Who You Are,72,6.2
Hellboy,72,8.6
Betting on Zero,72,7.0
Violette,72,7.0
Radio Unnameable,72,7.0
Sleepless in Seattle,72,7.0
"Hail, Caesar!",72,5.9
When I Saw You,72,6.9
4,72,6.9
The Lure,72,7.1
Mistaken for Strangers,72,8.3
"Planes, Trains & Automobiles",72,8.7
Igby Goes Down,72,7.7
Safety Not Guaranteed,72,7.4
Christine,72,7.4
Bubot Niyar,72,7.7
Saturday Church,72,7.7
Star Trek Into Darkness,72,7.7
Dope,72,7.6
The Great Invisible,72,5.1
Pussy Riot: A Punk Prayer,72,5.1
Monkey Kingdom,72,7.4
Transit,72,6.5
Pieta,72,6.5
Lovers of Hate,72,8.7
Kiss Kiss Bang Bang,72,8.7
Author: The JT LeRoy Story,72,7.0
Blade of the Immortal,72,7.0
Finding Oscar,72,5.8
Every Last Child,72,5.8
Bellflower,72,5.8
Bob & Carol & Ted & Alice,72,8.5
50/50,72,8.5
Full Battle Rattle,72,6.7
War Horse,72,6.7
Super 8,72,7.3
Heaven Can Wait,72,7.3
The Untamed,72,7.3
The Aristocrats,72,6.4
Lake Tahoe,72,7.1
Easy A,72,7.1
The Eagle Huntress,72,6.5
Censored Voices,72,6.1
Army of One,72,7.9
The Mother,72,7.9
Zheng hun qi shi,72,6.0
The Oath,72,6.9
Priceless,72,6.9
Transsiberian,72,6.9
Armadillo,72,7.1
Charlotte Sometimes,72,8.0
Old Stone,72,8.2
Beauty Is Embarrassing,72,8.2
Cosmos,72,8.2
First Position,72,8.2
The Final Master,72,7.0
Pusher,72,7.4
Gimme Danger,72,9.2
The Life of Reilly,72,7.4
I Served the King of England,72,8.1
Gangs of New York,72,7.6
Barry,72,5.1
Slow West,72,6.6
Nowhere in Africa,72,7.9
The Rookie,72,8.2
A Beautiful Mind,72,8.1
At the Height of Summer,72,8.3
The Ballad of Ramblin' Jack,72,7.0
Felicia's Journey,72,7.0
The Rainmaker,72,7.9
Post Mortem,72,8.5
The Beatles: Eight Days a Week - The Touring Years,72,8.5
Your Sister's Sister,72,6.5
Inland Empire,72,7.3
It's All So Quiet,72,7.9
The Woodsman,72,7.9
Summertime,72,7.8
Shame,72,7.8
The Theory of Everything,72,7.8
Crazy Horse,72,7.9
Plagues and Pleasures on the Salton Sea,72,7.9
Akeelah and the Bee,72,7.9
Brick,72,7.6
Doctor Strange,72,8.2
Death and the Maiden,72,7.9
Filmworker,72,7.5
Men Go to Battle,72,7.5
The Heart Machine,72,7.5
The Lottery,72,7.5
Ghost Town,72,7.0
Pressure Cooker,72,8.0
Escapes,72,4.8
Tiny Furniture,72,4.8
Air Guitar Nation,72,8.1
Mostly Martha,72,8.2
The Closet,72,6.3
Journey to the Sun,72,4.0
The Thomas Crown Affair,72,4.0
Walk the Line,72,8.3
Six Degrees of Separation,72,0
When Marnie Was There,72,7.8
Pusher III: I'm the Angel of Death,72,7.9
Control,72,8.7
Terri,72,6.7
Dormant Beauty,72,8.0
Obit,72,8.0
Daylight,72,5.0
Amer,72,7.8
Nas: Time Is Illmatic,72,7.8
Match Point,72,8.4
Still Alice,72,7.9
Joan Didion: The Center Will Not Hold,72,5.8
A Space Program,72,5.8
Sound of Noise,72,5.8
Ethel & Ernest,72,8.1
Siddharth,72,8.1
Truly Madly Deeply,72,8.1
The Talent Given Us,72,7.8
Manifesto,72,7.8
My Entire High School Sinking Into the Sea,72,6.0
Strictly Ballroom,72,6.6
Surfwise,72,6.9
RBG,72,6.9
The Incredible Jessica James,72,6.9
Donald Cried,72,7.5
The Silence,72,6.1
Despicable Me,72,7.8
Jack Smith and the Destruction of Atlantis,72,8.5
Abduction: The Megumi Yokota Story,72,8.5
Isn't This a Time! A Tribute Concert for Harold Leventhal,72,8.5
Step Into Liquid,72,8.5
The Ice Storm,72,8.8
Great World of Sound,72,7.4
The Kill Team,72,7.7
Sweet Virginia,72,7.7
The Double Hour,72,7.3
12,72,7.2
The Falling,71,5.9
48 Hrs.,71,8.8
Stolen Seas,71,7.4
Undefeated,71,7.4
Tuya's Marriage,71,7.0
Sylvio,71,7.0
Fed Up,71,7.0
Harry Potter and the Order of the Phoenix,71,7.3
Smashed,71,7.9
Paradise Now,71,7.8
"Cry, the Beloved Country",71,5.5
What Doesn't Kill You,71,5.5
Manito,71,8.2
Secret Lives: Hidden Children and Their Rescuers During WWII,71,8.4
Marion Bridge,71,8.4
Swimming,71,8.6
Chasing Amy,71,8.6
The Raid 2,71,8.5
F/X,71,7.7
Land of the Dead,71,4.7
Inspector Bellamy,71,4.4
The Boss of It All,71,6.7
Bleak Moments,71,7.5
A Family Thing,71,7.5
Thirst Street,71,7.4
Being Elmo: A Puppeteer's Journey,71,7.4
Monument Ave.,71,5.8
Smiley Face,71,5.8
London Road,71,6.2
Wal-Mart: The High Cost of Low Price,71,8.6
Leap Year,71,7.6
Bugsy Malone,71,8.8
Married to the Mob,71,8.8
The Water Horse,71,7.5
A Monster with a Thousand Heads,71,8.4
Sisters in Law,71,7.2
Man Push Cart,71,7.2
Time of the Wolf,71,7.3
All the Real Girls,71,7.8
Tadpole,71,8.5
Spy Kids,71,8.5
Wonderland,71,8.4
Everyone Else,71,8.1
I Am Breathing,71,6.6
Cameraman: The Life and Work of Jack Cardiff,71,6.6
La Moustache,71,6.6
One Lucky Elephant,71,7.6
Jerichow,71,7.6
King Leopold's Ghost,71,7.6
Thank You for Smoking,71,7.6
Pete's Dragon,71,6.8
My Brother the Devil,71,6.7
Monkey Shines,71,6.7
Prevenge,71,6.7
Map of the Human Heart,71,7.4
Divines,71,7.4
Factotum,71,6.6
Intimate Strangers,71,7.6
Intolerable Cruelty,71,6.3
The Good Girl,71,7.4
Bowfinger,71,8.7
Tropic Thunder,71,7.3
Koch,71,0
Dead Again,66,8.9
"Pink Ribbons, Inc.",66,7.8
The Tiger Hunter,66,7.8
Crimson Tide,66,7.8
L.A. Story,66,6.8
Ever After,66,8.8
The Founder,66,7.3
"Rabin, the Last Day",66,6.8
The Thomas Crown Affair,66,6.8
The Angels' Share,66,6.8
Moonraker,66,8.8
The Bridges of Madison County,66,8.8
By Sidney Lumet,66,7.2
Frantic,66,7.2
"OC87: The Obsessive Compulsive, Major Depression, Bipolar, Asperger's Movie",66,7.2
Spanking the Monkey,66,7.2
Seven Psychopaths,66,6.8
Small Town Murder Songs,66,6.8
Dog Days,66,8.0
Tuck Everlasting,66,8.7
Pecker,66,7.4
Steamboy,66,8.8
Phantom Boy,66,8.8
American Me,66,6.0
Blue Thunder,66,5.6
Elstree 1976,66,5.6
Fly Away,66,6.8
Boogie Man: The Lee Atwater Story,66,6.8
Megan Leavey,66,6.8
The Bling Ring,66,6.4
Dinosaur 13,66,6.5
Bronco Billy,66,5.3
Jealousy,66,5.3
After Love,66,4.8
Tales of the Night,66,4.8
The Midwife,66,7.4
Idiocracy,66,7.4
The Informant!,66,5.2
Damsel,66,6.4
The Two Faces of January,66,6.4
"A Woman, a Part",66,6.3
The Great Museum,66,6.3
Diggers,66,6.3
Tommy,66,7.0
The Danish Girl,66,7.0
The Woman with the 5 Elephants,66,7.0
Don Jon,66,7.0
Blood Father,66,6.6
Voices of Iraq,66,6.8
El bonaerense,66,6.8
So Close,66,7.1
The Eye,66,6.6
Bend It Like Beckham,66,7.6
Barking Dogs Never Bite,66,9.0
Fight Club,66,9.0
"Lock, Stock and Two Smoking Barrels",66,8.3
Colors,66,8.7
Infinite Football,66,8.9
The Prestige,66,8.9
Unforgivable,66,6.8
POM Wonderful Presents: The Greatest Movie Ever Sold,66,7.2
I.Q.,66,6.0
Kung Fu Killer,66,6.0
Something from Nothing: The Art of Rap,66,6.1
Truth,66,7.1
Disorder,66,7.2
Family Law,66,8.2
Shepard & Dark,66,6.9
Elegy,66,6.9
Norman Lear: Just Another Version of You,66,7.6
Cloudy with a Chance of Meatballs,66,7.6
October Country,66,6.7
In Fear,66,6.7
Carancho,66,7.7
The Hip Hop Project,66,7.8
SherryBaby,66,7.8
Dark City,66,8.4
Landline,66,6.5
Stardust,66,8.7
The Road Movie,66,6.0
The Reagan Show,66,6.0
Wedding Doll,66,6.0
The Monastery: Mr. Vig and the Nun,66,6.5
Talladega Nights: The Ballad of Ricky Bobby,66,6.5
Tattoo,66,4.0
I Am Trying to Break Your Heart,66,4.0
Margarita Happy Hour,66,8.0
Trembling Before G-d,66,7.2
Valley Girl,66,7.7
